# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.190995 seconds
# 171.564535 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
  1550	    10.08394	     0.07496
  1600	     9.18294	     0.06882
  1650	     8.56206	     0.06376
  1700	     7.77231	     0.05804
  1750	     7.15950	     0.05446
  1800	     6.57356	     0.04986
  1850	     6.03754	     0.04634
  1900	     5.61129	     0.04347
  1950	     5.10270	     0.04003
  2000	     4.67896	     0.03693
  2050	     4.40816	     0.03482
  2100	     3.97730	     0.03191
  2150	     3.62379	     0.02964
  2200	     3.45172	     0.02826
  2250	     3.15811	     0.02626
  2300	     2.95380	     0.02463
  2350	     2.70107	     0.02289
  2400	     2.50467	     0.02157
  2450	     2.33708	     0.02046
  2500	     2.14588	     0.01904
  2550	     1.99422	     0.01796
  2600	     1.88434	     0.01700
  2650	     1.74577	     0.01584
  2700	     1.61423	     0.01487
  2750	     1.50106	     0.01391
  2800	     1.35854	     0.01287
  2850	     1.27800	     0.01215
  2900	     1.18080	     0.01151
  2950	     1.10875	     0.01092
  3000	     1.03637	     0.01033
  3050	     0.97546	     0.00993
  3100	     0.88913	     0.00920
  3150	     0.83933	     0.00861
  3200	     0.78536	     0.00819
  3250	     0.73917	     0.00785
  3300	     0.68251	     0.00734
  3350	     0.64748	     0.00712
  3400	     0.59687	     0.00670
  3450	     0.54168	     0.00611
  3500	     0.51495	     0.00581
  3550	     0.47894	     0.00549
  3600	     0.45663	     0.00529
  3650	     0.41208	     0.00495
  3700	     0.38562	     0.00461
  3750	     0.36150	     0.00442
  3800	     0.34892	     0.00426
  3850	     0.32262	     0.00403
  3900	     0.29684	     0.00375
  3950	     0.27617	     0.00354
  4000	     0.26174	     0.00343
  4050	     0.24695	     0.00324
  4100	     0.22400	     0.00301
  4150	     0.20828	     0.00289
  4200	     0.20107	     0.00279
  4250	     0.18422	     0.00263
  4300	     0.16823	     0.00240
  4350	     0.16390	     0.00238
  4400	     0.15069	     0.00219
  4450	     0.13554	     0.00202
  4500	     0.13398	     0.00201
  4550	     0.12393	     0.00188
  4600	     0.11518	     0.00180
  4650	     0.11123	     0.00176
  4700	     0.09877	     0.00155
  4750	     0.09791	     0.00155
  4800	     0.09204	     0.00152
  4850	     0.08425	     0.00144
  4900	     0.07523	     0.00129
  4950	     0.07255	     0.00128
# extra	     0.02374
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.188687 seconds
# 173.663718 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20441.12402	   306.77585
    50	  3240.52211	    45.09625
   100	  1297.12932	    16.89000
   150	   734.26497	     8.85903
   200	   482.33799	     5.43884
   250	   346.29199	     3.67467
   300	   262.39871	     2.64595
   350	   201.74958	     1.96857
   400	   162.92817	     1.52887
   450	   131.19479	     1.19921
   500	   110.39918	     0.97254
   550	    92.59780	     0.80294
   600	    81.21142	     0.67756
   650	    70.66033	     0.57350
   700	    61.58511	     0.48875
   750	    54.08063	     0.42138
   800	    46.87934	     0.36395
   850	    41.48548	     0.31788
   900	    37.09361	     0.27940
   950	    32.67401	     0.24588
  1000	    29.50954	     0.21982
  1050	    26.17755	     0.19539
  1100	    23.64275	     0.17470
  1150	    21.33919	     0.15791
  1200	    19.92490	     0.14349
  1250	    17.66341	     0.12884
  1300	    15.92093	     0.11677
  1350	    14.49028	     0.10648
  1400	    13.32351	     0.09759
  1450	    12.37796	     0.08926
  1500	    10.99755	     0.08125
  1550	    10.08394	     0.07496
  1600	     9.18294	     0.06882
  1650	     8.56206	     0.06376
  1700	     7.77231	     0.05804
  1750	     7.15950	     0.05446
  1800	     6.57356	     0.04986
  1850	     6.03754	     0.04634
  1900	     5.61129	     0.04347
  1950	     5.10270	     0.04003
  2000	     4.67896	     0.03693
  2050	     4.40816	     0.03482
  2100	     3.97730	     0.03191
  2150	     3.62379	     0.02964
  2200	     3.45172	     0.02826
  2250	     3.15811	     0.02626
  2300	     2.95380	     0.02463
  2350	     2.70107	     0.02289
  2400	     2.50467	     0.02157
  2450	     2.33708	     0.02046
  2500	     2.14588	     0.01904
  2550	     1.99422	     0.01796
  2600	     1.88434	     0.01700
  2650	     1.74577	     0.01584
  2700	     1.61423	     0.01487
  2750	     1.50106	     0.01391
  2800	     1.35854	     0.01287
  2850	     1.27800	     0.01215
  2900	     1.18080	     0.01151
  2950	     1.10875	     0.01092
  3000	     1.03637	     0.01033
  3050	     0.97546	     0.00993
  3100	     0.88913	     0.00920
  3150	     0.83933	     0.00861
  3200	     0.78536	     0.00819
  3250	     0.73917	     0.00785
  3300	     0.68251	     0.00734
  3350	     0.64748	     0.00712
  3400	     0.59687	     0.00670
  3450	     0.54168	     0.00611
  3500	     0.51495	     0.00581
  3550	     0.47894	     0.00549
  3600	     0.45663	     0.00529
  3650	     0.41208	     0.00495
  3700	     0.38562	     0.00461
  3750	     0.36150	     0.00442
  3800	     0.34892	     0.00426
  3850	     0.32262	     0.00403
  3900	     0.29684	     0.00375
  3950	     0.27617	     0.00354
  4000	     0.26174	     0.00343
  4050	     0.24695	     0.00324
  4100	     0.22400	     0.00301
  4150	     0.20828	     0.00289
  4200	     0.20107	     0.00279
  4250	     0.18422	     0.00263
  4300	     0.16823	     0.00240
  4350	     0.16390	     0.00238
  4400	     0.15069	     0.00219
  4450	     0.13554	     0.00202
  4500	     0.13398	     0.00201
  4550	     0.12393	     0.00188
  4600	     0.11518	     0.00180
  4650	     0.11123	     0.00176
  4700	     0.09877	     0.00155
  4750	     0.09791	     0.00155
  4800	     0.09204	     0.00152
  4850	     0.08425	     0.00144
  4900	     0.07523	     0.00129
  4950	     0.07255	     0.00128
# extra	     0.02374
# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =    32768
#
# 0.187947 seconds
# 174.347474 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 20441.12402	   306.77585
    50	  3240.52211	    45.09625
   100	  1297.12932	    16.89000
   150	   734.26497	     8.85903
   200	   482.33799	     5.43884
   250	   346.29199	     3.67467
   300	   262.39871	     2.64595
   350	   201.74958	     1.96857
   400	   162.92817	     1.52887
   450	   131.19479	     1.19921
   500	   110.39918	     0.97254
   550	    92.59780	     0.80294
   600	    81.21142	     0.67756
   650	    70.66033	     0.57350
   700	    61.58511	     0.48875
   750	    54.08063	     0.42138
   800	    46.87934	     0.36395
   850	    41.48548	     0.31788
   900	    37.09361	     0.27940
   950	    32.67401	     0.24588
  1000	    29.50954	     0.21982
  1050	    26.17755	     0.19539
  1100	    23.64275	     0.17470
  1150	    21.33919	     0.15791
  1200	    19.92490	     0.14349
  1250	    17.66341	     0.12884
  1300	    15.92093	     0.11677
  1350	    14.49028	     0.10648
  1400	    13.32351	     0.09759
  1450	    12.37796	     0.08926
  1500	    10.99755	     0.08125
  1550	    10.08394	     0.07496
  1600	     9.18294	     0.06882
  1650	     8.56206	     0.06376
  1700	     7.77231	     0.05804
  1750	     7.15950	     0.05446
  1800	     6.57356	     0.04986
  1850	     6.03754	     0.04634
  1900	     5.61129	     0.04347
  1950	     5.10270	     0.04003
  2000	     4.67896	     0.03693
  2050	     4.40816	     0.03482
  2100	     3.97730	     0.03191
  2150	     3.62379	     0.02964
  2200	     3.45172	     0.02826
  2250	     3.15811	     0.02626
  2300	     2.95380	     0.02463
  2350	     2.70107	     0.02289
  2400	     2.50467	     0.02157
  2450	     2.33708	     0.02046
  2500	     2.14588	     0.01904
  2550	     1.99422	     0.01796
  2600	     1.88434	     0.01700
  2650	     1.74577	     0.01584
  2700	     1.61423	     0.01487
  2750	     1.50106	     0.01391
  2800	     1.35854	     0.01287
  2850	     1.27800	     0.01215
  2900	     1.18080	     0.01151
  2950	     1.10875	     0.01092
  3000	     1.03637	     0.01033
  3050	     0.97546	     0.00993
  3100	     0.88913	     0.00920
  3150	     0.83933	     0.00861
  3200	     0.78536	     0.00819
  3250	     0.73917	     0.00785
  3300	     0.68251	     0.00734
  3350	     0.64748	     0.00712
  3400	     0.59687	     0.00670
  3450	     0.54168	     0.00611
  3500	     0.51495	     0.00581
  3550	     0.47894	     0.00549
  3600	     0.45663	     0.00529
  3650	     0.41208	     0.00495
  3700	     0.38562	     0.00461
  3750	     0.36150	     0.00442
  3800	     0.34892	     0.00426
  3850	     0.32262	     0.00403
  3900	     0.29684	     0.00375
  3950	     0.27617	     0.00354
  4000	     0.26174	     0.00343
  4050	     0.24695	     0.00324
  4100	     0.22400	     0.00301
  4150	     0.20828	     0.00289
  4200	     0.20107	     0.00279
  4250	     0.18422	     0.00263
  4300	     0.16823	     0.00240
  4350	     0.16390	     0.00238
  4400	     0.15069	     0.00219
  4450	     0.13554	     0.00202
  4500	     0.13398	     0.00201
  4550	     0.12393	     0.00188
  4600	     0.11518	     0.00180
  4650	     0.11123	     0.00176
  4700	     0.09877	     0.00155
  4750	     0.09791	     0.00155
  4800	     0.09204	     0.00152
  4850	     0.08425	     0.00144
  4900	     0.07523	     0.00129
  4950	     0.07255	     0.00128
# extra	     0.02374

 Performance counter stats for './headless' (10 runs):

            189.54 msec task-clock                       #    0.996 CPUs utilized               ( +-  0.17% )
                 1      context-switches                 #    5.276 /sec                        ( +- 21.08% )
                 0      cpu-migrations                   #    0.000 /sec                      
                89      page-faults                      #  469.567 /sec                        ( +-  1.19% )
         653312491      cycles                           #    3.447 GHz                         ( +-  0.11% )
           8700580      stalled-cycles-frontend          #    1.33% frontend cycles idle        ( +-  1.71% )
         980525276      instructions                     #    1.50  insn per cycle            
                                                  #    0.01  stalled cycles per insn     ( +-  0.01% )
         193136755      branches                         #    1.019 G/sec                       ( +-  0.01% )
           1202338      branch-misses                    #    0.62% of all branches             ( +-  0.14% )

          0.190281 +- 0.000325 seconds time elapsed  ( +-  0.17% )
